locations,count,rate,date,lat,lon
City of South Gate,52,52.14,2020-04-05T00:00:00Z,33.954737,-118.2120161
City of South Pasadena,10,38.55,2020-04-05T00:00:00Z,34.1161196,-118.1503488
City of Temple City,9,24.66,2020-04-05T00:00:00Z,34.1072305,-118.0578456
City of Torrance,86,58.63,2020-04-05T00:00:00Z,33.8358492,-118.3406288
City of Vernon,0,0,2020-04-05T00:00:00Z,34.003903,-118.230073
City of Walnut,8,26.61,2020-04-05T00:00:00Z,34.0202894,-117.8653386
City of West Covina,12,11.14,2020-04-05T00:00:00Z,34.0686208,-117.9389526
City of West Hollywood,83,231.86,2020-04-05T00:00:00Z,34.0900091,-118.3617443
City of Westlake Village,NA,NA,2020-04-05T00:00:00Z,34.1466467,-118.8073729
City of Whittier,23,26.11,2020-04-05T00:00:00Z,33.9791793,-118.032844
Los Angeles,2659,65.91,2020-04-05T00:00:00Z,34.0522342,-118.2436849
Los Angeles - Adams-Normandie,13,153.18,2020-04-05T00:00:00Z,34.0343441,-118.2993138
Los Angeles - Alsace,NA,NA,2020-04-05T00:00:00Z,33.978611,-118.415556
Los Angeles - Angelino Heights,0,0,2020-04-05T00:00:00Z,34.0702889,-118.2547965
Los Angeles - Arleta,15,42.72,2020-04-05T00:00:00Z,34.2504595,-118.4338345
Los Angeles - Atwater Village,6,40.81,2020-04-05T00:00:00Z,34.1172904,-118.2614332
Los Angeles - Baldwin Hills,20,66.68,2020-04-05T00:00:00Z,34.006677,-118.3505779
Los Angeles - Bel Air,18,219.03,2020-04-05T00:00:00Z,34.1002455,-118.459463
Los Angeles - Beverly Crest,25,201.69,2020-04-05T00:00:00Z,34.1012952,-118.4162542
Los Angeles - Beverlywood,17,127.62,2020-04-05T00:00:00Z,34.0494132,-118.3952319
Los Angeles - Boyle Heights,37,42.41,2020-04-05T00:00:00Z,34.0297895,-118.2117257
Los Angeles - Brentwood,49,156.71,2020-04-05T00:00:00Z,34.0521011,-118.4732464
Los Angeles - Brookside,0,0,2020-04-05T00:00:00Z,34.0621509,-118.3384966
Los Angeles - Cadillac-Corning,NA,NA,2020-04-05T00:00:00Z,34.0456374,-118.3788626
Los Angeles - Canoga Park,32,50.24,2020-04-05T00:00:00Z,34.208254,-118.6058609
Los Angeles - Carthay,26,193.77,2020-04-05T00:00:00Z,34.0558382,-118.3680295
Los Angeles - Central,24,61.37,2020-04-05T00:00:00Z,34.0686748,-118.3228165
Los Angeles - Century City,23,189.89,2020-04-05T00:00:00Z,34.0536608,-118.4133894
Los Angeles - Century Palms/Cove,17,50.2,2020-04-05T00:00:00Z,33.9453293,-118.2732046
Los Angeles - Chatsworth,24,66.59,2020-04-05T00:00:00Z,34.2506356,-118.61481
Los Angeles - Cheviot Hills,10,107.94,2020-04-05T00:00:00Z,34.0403397,-118.4042014
Los Angeles - Chinatown,NA,NA,2020-04-05T00:00:00Z,34.0623339,-118.2383309
Los Angeles - Cloverdale/Cochran,10,66.64,2020-04-05T00:00:00Z,34.062379,-118.34657
Los Angeles - Country Club Park,12,77.9,2020-04-05T00:00:00Z,34.050289,-118.3211871
Los Angeles - Crenshaw District,9,65.44,2020-04-05T00:00:00Z,34.0181993,-118.3403506
Los Angeles - Crestview,23,200.94,2020-04-05T00:00:00Z,34.0478848,-118.3804254
Los Angeles - Del Rey,27,92.28,2020-04-05T00:00:00Z,33.9859958,-118.4249118
Los Angeles - Downtown,19,78.35,2020-04-05T00:00:00Z,34.040713,-118.2467693
Los Angeles - Eagle Rock,21,53.61,2020-04-05T00:00:00Z,34.1391568,-118.2140883
Los Angeles - East Hollywood,16,53.71,2020-04-05T00:00:00Z,34.091341,-118.2935891
Los Angeles - Echo Park,9,62.74,2020-04-05T00:00:00Z,34.0781593,-118.2605574
Los Angeles - El Sereno,18,43.12,2020-04-05T00:00:00Z,34.0735812,-118.1786407
Los Angeles - Elysian Park,5,86.48,2020-04-05T00:00:00Z,34.0838043,-118.2365812
Los Angeles - Elysian Valley,NA,NA,2020-04-05T00:00:00Z,34.0966545,-118.2426625
Los Angeles - Encino,39,91.69,2020-04-05T00:00:00Z,34.1517492,-118.5214282
Los Angeles - Exposition,0,0,2020-04-05T00:00:00Z,34.0149382,-118.2861984
Los Angeles - Exposition Park,28,61.96,2020-04-05T00:00:00Z,34.0149382,-118.2861984
Los Angeles - Faircrest Heights,NA,NA,2020-04-05T00:00:00Z,34.0476464,-118.3710307
Los Angeles - Figueroa Park Square,NA,NA,2020-04-05T00:00:00Z,34.048569,-118.2528917
Los Angeles - Florence-Firestone,28,57.32,2020-04-05T00:00:00Z,33.9671978,-118.2436197
Los Angeles - Glassell Park,30,95.59,2020-04-05T00:00:00Z,34.1090363,-118.2333778
Los Angeles - Gramercy Place,7,66.9,2020-04-05T00:00:00Z,33.9909566,-118.3138655
Los Angeles - Granada Hills,27,46.57,2020-04-05T00:00:00Z,34.2793576,-118.5021527
Los Angeles - Green Meadows,10,46.01,2020-04-05T00:00:00Z,33.9555555,-118.2693774
Los Angeles - Hancock Park,38,231.35,2020-04-05T00:00:00Z,34.0723327,-118.3286614
Los Angeles - Harbor City,19,65.61,2020-04-05T00:00:00Z,33.7906551,-118.2965084
Los Angeles - Harbor Gateway,18,41.19,2020-04-05T00:00:00Z,33.8405268,-118.3023579
Los Angeles - Harbor Pines,0,0,2020-04-05T00:00:00Z,33.7824015,-118.3038193
Los Angeles - Harvard Heights,9,48.92,2020-04-05T00:00:00Z,34.0422222,-118.3041667
Los Angeles - Harvard Park,16,40.36,2020-04-05T00:00:00Z,33.9836829,-118.3043271
Los Angeles - Highland Park,19,39.45,2020-04-05T00:00:00Z,34.1154946,-118.1843898
Los Angeles - Historic Filipinotown,8,56.52,2020-04-05T00:00:00Z,34.0702694,-118.2680383
Los Angeles - Hollywood,96,147.82,2020-04-05T00:00:00Z,34.0928092,-118.3286614
Los Angeles - Hollywood Hills,39,135.06,2020-04-05T00:00:00Z,34.1176605,-118.3520389
Los Angeles - Hyde Park,14,47.64,2020-04-05T00:00:00Z,33.980569,-118.3306308
Los Angeles - Jefferson Park,NA,NA,2020-04-05T00:00:00Z,34.0272344,-118.3175756
Los Angeles - Koreatown,32,60.83,2020-04-05T00:00:00Z,34.0597117,-118.3008918
Los Angeles - Lafayette Square,5,108.08,2020-04-05T00:00:00Z,34.0430556,-118.3319444
Los Angeles - Lake Balboa,25,60.01,2020-04-05T00:00:00Z,34.2010832,-118.5010942
Los Angeles - Lakeview Terrace,10,74.84,2020-04-05T00:00:00Z,34.2763908,-118.3611912
Los Angeles - Leimert Park,17,112.53,2020-04-05T00:00:00Z,34.0106702,-118.3234759
Los Angeles - Lincoln Heights,11,33.28,2020-04-05T00:00:00Z,34.0736835,-118.2117682
Los Angeles - Little Armenia,16,211.36,2020-04-05T00:00:00Z,34.0981274,-118.3005333
Los Angeles - Little Bangladesh,16,55.04,2020-04-05T00:00:00Z,34.0690781,-118.2968774
Los Angeles - Little Tokyo,NA,NA,2020-04-05T00:00:00Z,34.0523392,-118.2395052
Los Angeles - Longwood,NA,NA,2020-04-05T00:00:00Z,34.055125,-118.3393745
